,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Justin Herbert,LAC,5,QB,123,110,133,0.08,0.21,12,133
,Mike Williams,NYJ,12,WR,142,138,134,-0.06,-0.03,,134
,Adonai Mitchell,IND,14,WR,144,156,135,-0.06,-0.13,,135
,Josh Downs,IND,14,WR,174,154,136,-0.22,-0.12,,136
,Luke Musgrave,GB,10,TE,151,147,137,-0.09,-0.07,,137
,Brandin Cooks,DAL,7,WR,152,136,138,-0.09,0.01,,138
,Khalil Herbert,CHI,7,RB,178,155,139,-0.22,-0.10,,139
,J.K. Dobbins,LAC,5,RB,120,146,140,0.17,-0.04,,140
,Dontayvion Wicks,GB,10,WR,154,152,141,-0.08,-0.07,,141
,Geno Smith,SEA,10,QB,177,126,142,-0.20,0.13,,142
,Aaron Rodgers,NYJ,12,QB,138,121,143,0.04,0.18,,143
,Deshaun Watson,CLE,10,QB,168,125,144,-0.14,0.15,,144
,Gabe Davis,JAC,12,WR,147,145,145,-0.01,0.00,13,145
,Taysom Hill,NO,12,TE,148,134,146,-0.01,0.09,,146
,Ja'Lynn Polk,NE,14,WR,165,168,147,-0.11,-0.13,,147
,Jaleel McLaughlin,DEN,14,RB,145,149,148,0.02,-0.01,,148
,Ty Chandler,MIN,6,RB,132,140,149,0.13,0.06,,149
,Baker Mayfield,TB,11,QB,157,132,151,-0.04,0.14,,150
,Michael Wilson,ARI,11,WR,172,162,152,-0.12,-0.06,,151
,Bucky Irving,TB,11,RB,164,174,153,-0.07,-0.12,,152
,Adam Thielen,CAR,11,WR,162,164,154,-0.05,-0.06,,153
,Tyler Allgeier,ATL,12,RB,141,142,155,0.10,0.09,,154
,Rashod Bateman,BAL,14,WR,238,172,156,-0.34,-0.09,,155
,Noah Fant,SEA,10,TE,221,179,157,-0.29,-0.12,,156
,Antonio Gibson,NE,14,RB,150,153,158,0.05,0.03,14,157
,T.J. Hockenson,MIN,6,TE,125,144,160,0.28,0.11,,158
,Jaylen Wright,MIA,6,RB,140,167,161,0.15,-0.04,,159
,Jerry Jeudy,CLE,10,WR,138,148,162,0.17,0.09,,160
,Cole Kmet,CHI,7,TE,133,151,164,0.23,0.09,,161
,MarShawn Lloyd,GB,10,RB,149,159,165,0.11,0.04,,162
,DeMario Douglas,NE,14,WR,196,165,166,-0.15,0.01,,163
,Jordan Mason,SF,9,RB,186,190,168,-0.10,-0.12,,164
,Hunter Henry,NE,14,TE,185,150,170,-0.08,0.13,,165
,Cade Otton,TB,11,TE,198,170,171,-0.14,0.01,,166
,Darnell Mooney,ATL,12,WR,171,158,172,0.01,0.09,,167
,Tyler Conklin,NYJ,12,TE,182,161,173,-0.05,0.07,,168
,Ray Davis,BUF,12,RB,157,157,174,0.11,0.11,15,169
,Will Levis,TEN,5,QB,173,143,176,0.02,0.23,,170
,Braelon Allen,NYJ,12,RB,165,176,177,0.07,0.01,,171
,Sam Darnold,MIN,6,QB,215,169,179,-0.17,0.06,,172
,Derek Carr,NO,12,QB,200,160,180,-0.10,0.13,,173
,Tyrone Tracy,NYG,11,RB,176,194,181,0.03,-0.07,,174
,Marvin Mims,DEN,14,WR,241,182,182,-0.24,0.00,,175
,Jahan Dotson,PHI,5,WR,189,173,183,-0.03,0.06,,176
,Wan'Dale Robinson,NYG,11,WR,231,181,184,-0.20,0.02,,177
,Demarcus Robinson,LAR,6,WR,255,183,187,-0.27,0.02,,178
,Daniel Jones,NYG,11,QB,203,163,188,-0.07,0.15,,179
,Kimani Vidal,LAC,5,RB,160,197,189,0.18,-0.04,,180
,Isaiah Likely,BAL,14,TE,180,175,190,0.06,0.09,16,181
,Jalen McMillan,TB,11,WR,252,204,191,-0.24,-0.06,,182
,Quentin Johnston,LAC,5,WR,187,189,192,0.03,0.02,,183
,Darius Slayton,NYG,11,WR,308,196,193,-0.37,-0.02,,184
,Chigoziem Okonkwo,TEN,5,TE,199,186,194,-0.03,0.04,,185
,Dameon Pierce,HOU,14,RB,239,187,196,-0.18,0.05,,186
,Roschon Johnson,CHI,7,RB,224,178,197,-0.12,0.11,,187
,Bo Nix,DEN,14,QB,187,180,198,0.06,0.10,,188
,Jonnu Smith,MIA,6,TE,218,205,202,-0.07,-0.01,,189
,Ben Sinnott,WAS,14,TE,214,202,204,-0.05,0.01,,190
,Roman Wilson,PIT,9,WR,249,199,205,-0.18,0.03,,191
,Ricky Pearsall,SF,9,WR,228,184,206,-0.10,0.12,,192
,Kendrick Bourne,NE,14,WR,317,225,207,-0.35,-0.08,17,193
,Elijah Moore,CLE,10,WR,282,206,209,-0.26,0.01,,194
,Xavier Legette,CAR,11,WR,159,177,211,0.33,0.19,,195
,Kendre Miller,NO,12,RB,223,188,212,-0.05,0.13,,196
,Tank Bigsby,JAC,12,RB,200,191,213,0.07,0.12,,197
,Miles Sanders,CAR,11,RB,288,222,216,-0.25,-0.03,,198
,Kenneth Gainwell,PHI,5,RB,240,210,218,-0.09,0.04,,199
,Bryce Young,CAR,11,QB,193,166,221,0.15,0.33,,200
,Andrei Iosivas,CIN,12,WR,262,213,223,-0.15,0.05,,201
,Zach Ertz,WAS,14,TE,268,221,226,-0.16,0.02,,202
,Mike Gesicki,CIN,12,TE,256,200,228,-0.11,0.14,,203
,Juwan Johnson,NO,12,TE,246,171,230,-0.07,0.35,,204
,Malachi Corley,NYJ,12,WR,204,215,232,0.14,0.08,18,205
,Javon Baker,NE,14,WR,242,223,238,-0.02,0.07,,206
,Jalin Hyatt,NYG,11,WR,303,201,242,-0.20,0.20,,207
,Will Shipley,PHI,5,RB,227,220,245,0.08,0.11,,208
,Jermaine Burton,CIN,12,WR,204,193,248,0.22,0.28,,209
,Troy Franklin,DEN,14,WR,209,216,251,0.20,0.16,,210
,Justice Hill,BAL,14,RB,235,203,252,0.07,0.24,,211
,Tyler Boyd,TEN,5,WR,262,208,257,-0.02,0.24,,212
,Trey Sermon,IND,14,RB,275,224,259,-0.06,0.16,,213
,Alexander Mattison,LV,10,RB,211,192,261,0.24,0.36,,214
,DJ Chark,LAC,5,WR,279,211,263,-0.06,0.25,,215
,Jamaal Williams,NO,12,RB,237,212,266,0.12,0.25,,216
,Audric Estime,DEN,14,RB,212,195,274,0.29,0.41,,217
,Tucker Kraft,GB,10,TE,299,198,278,-0.07,0.40,,218
,Michael Mayer,LV,10,TE,301,218,283,-0.06,0.30,,219
,Clyde Edwards-Helaire,KC,6,RB,226,209,289,0.28,0.38,,220
,Keaton Mitchell,BAL,14,RB,257,214,291,0.13,0.36,,221
,Russell Wilson,PIT,9,QB,210,185,322,0.53,0.74,,222
,Drake Maye,NE,14,QB,207,207,323,0.56,0.56,,223
,Justin Fields,PIT,9,QB,202,219,325,0.61,0.48,,224
,Gardner Minshew,LV,10,QB,232,217,329,0.42,0.52,,225
